skill,statistic,effect,value,significance
Externalizing Skills,DQ 90-10,Total Difference,0.367,***
Externalizing Skills,DQ 75-25,Total Difference,0.327,***
Externalizing Skills,DQ 50-10,Total Difference,0.244,***
Externalizing Skills,DQ 90-50,Total Difference,0.123,***
Externalizing Skills,D Variance,Total Difference,0.254,***
Externalizing Skills,DQ 90-10,Composition Effect,0.17,*
Externalizing Skills,DQ 75-25,Composition Effect,0.123,**
Externalizing Skills,DQ 50-10,Composition Effect,0.113,*
Externalizing Skills,DQ 90-50,Composition Effect,0.056,
Externalizing Skills,D Variance,Composition Effect,0.073,**
Externalizing Skills,DQ 90-10,Coefficient Effect,0.098,
Externalizing Skills,DQ 75-25,Coefficient Effect,0.185,
Externalizing Skills,DQ 50-10,Coefficient Effect,0.159,
Externalizing Skills,DQ 90-50,Coefficient Effect,-0.060,
Externalizing Skills,D Variance,Coefficient Effect,0.186,***
Internalizing Skills,DQ 90-10,Total Difference,0.578,***
Internalizing Skills,DQ 75-25,Total Difference,0.217,***
Internalizing Skills,DQ 50-10,Total Difference,0.391,***
Internalizing Skills,DQ 90-50,Total Difference,0.187,***
Internalizing Skills,D Variance,Total Difference,0.339,***
Internalizing Skills,DQ 90-10,Composition Effect,-0.002,
Internalizing Skills,DQ 75-25,Composition Effect,-0.083,*
Internalizing Skills,DQ 50-10,Composition Effect,0.071,
Internalizing Skills,DQ 90-50,Composition Effect,-0.073,*
Internalizing Skills,D Variance,Composition Effect,-0.015,
Internalizing Skills,DQ 90-10,Coefficient Effect,0.749,***
Internalizing Skills,DQ 75-25,Coefficient Effect,0.306,***
Internalizing Skills,DQ 50-10,Coefficient Effect,0.369,***
Internalizing Skills,DQ 90-50,Coefficient Effect,0.381,***
Internalizing Skills,D Variance,Coefficient Effect,0.365,***